BIBNO,AGE,GENDER,CATEGORY,SWIM,T1,BIKE,T2,RUN,FINALTM
1282,47,F,F OPEN,00:22:09,00:09:22,01:47:24,00:03:47,01:09:14,03:31:56
1283,47,F,F OPEN,00:19:25,00:06:45,01:21:39,00:02:06,00:54:59,02:44:54
1284,47,F,F OPEN,00:26:29,00:09:41,01:49:48,00:06:57,01:07:34,03:40:29
1285,47,F,F OPEN,00:22:34,00:10:00,01:37:10,00:05:04,00:58:54,03:13:42
1286,47,F,F OPEN,00:26:38,00:20:09,02:30:30,00:06:32,01:39:20,05:03:09
1287,47,F,F OPEN,00:25:09,00:11:39,01:46:15,00:03:12,01:15:46,03:42:01
1290,47,F,F OPEN,00:23:29,00:08:41,01:42:45,00:03:35,01:08:46,03:27:16
1291,47,F,F OPEN,00:16:50,00:05:09,01:13:55,00:01:09,00:46:48,02:23:51
1294,48,F,F OPEN,00:20:09,00:09:46,01:32:19,00:03:15,01:01:36,03:07:05
1295,48,F,F OPEN,00:25:29,00:22:53,02:05:38,00:07:26,01:13:13,04:14:39
1296,42,F,F OPEN,00:25:46,00:09:28,01:41:55,00:03:09,00:55:43,03:16:01
1298,48,F,F OPEN,00:20:07,00:08:44,01:31:58,00:02:04,00:58:00,03:00:53
1299,48,F,F OPEN,00:21:15,00:11:34,01:47:36,00:03:15,01:03:53,03:27:33
1300,48,F,F OPEN,00:18:16,00:11:34,01:39:32,00:05:26,00:57:10,03:11:58
1302,48,F,F OPEN,00:21:18,00:07:07,01:20:23,00:01:45,00:48:05,02:38:38
1305,48,F,F OPEN,00:18:44,00:07:31,01:30:17,00:02:46,00:53:50,02:53:08
1307,48,F,F OPEN,00:25:43,00:15:03,01:59:51,00:04:56,01:15:10,04:00:43
1310,48,F,F OPEN,00:17:44,00:05:39,01:12:37,00:01:33,00:46:03,02:23:36
1312,48,F,F OPEN,00:21:05,00:06:11,01:26:24,00:01:55,00:46:56,02:42:31
1313,48,F,F OPEN,00:20:27,00:08:47,01:39:46,00:02:10,01:04:37,03:15:47
1314,48,F,F OPEN,00:26:53,00:12:55,01:48:17,00:05:09,01:14:24,03:47:38
1315,48,F,F OPEN,00:25:18,00:12:36,01:36:40,00:04:48,01:00:39,03:20:01
1316,48,F,F OPEN,00:29:41,00:11:35,02:02:48,00:03:20,01:15:15,04:02:39
1317,48,F,F OPEN,00:26:46,00:20:09,02:30:30,00:06:32,01:39:28,05:03:25
1318,48,F,F OPEN,00:21:24,00:09:44,01:43:21,00:04:14,01:11:03,03:29:46
1319,48,F,F OPEN,00:22:20,00:09:39,01:30:24,00:03:30,01:07:59,03:13:52
1320,48,F,F OPEN,00:23:48,00:09:34,01:28:23,00:04:18,00:56:53,03:02:56
1322,48,F,F OPEN,00:28:19,00:15:29,01:34:01,00:03:42,00:54:05,03:15:36
1324,48,F,F OPEN,00:21:56,00:11:26,01:30:31,00:03:37,01:14:33,03:22:03
1325,49,F,F OPEN,00:24:54,00:08:18,01:35:17,00:03:15,01:04:44,03:16:28
1326,49,F,F OPEN,00:18:12,00:07:16,01:25:57,00:02:02,00:54:00,02:47:27
1329,49,F,F OPEN,00:25:21,00:13:40,01:49:36,00:04:09,01:12:24,03:45:10
1331,49,F,F OPEN,00:17:50,00:04:18,01:12:05,00:01:11,00:43:18,02:18:42
1333,49,F,F OPEN,00:21:40,00:10:19,01:54:26,00:03:39,01:12:25,03:42:29
1334,49,F,F OPEN,00:19:56,00:11:15,01:35:44,00:03:30,01:07:12,03:17:37
1336,49,F,F OPEN,00:17:48,00:06:22,01:14:47,00:01:49,00:50:14,02:31:00
1338,49,F,F OPEN,00:20:03,00:09:51,01:42:11,00:05:26,01:02:32,03:20:03
1339,49,F,F OPEN,00:21:13,00:10:18,01:28:51,00:03:50,01:11:53,03:16:05
1340,49,F,F OPEN,00:19:08,00:08:22,01:43:23,00:02:55,01:09:32,03:23:20
1342,49,F,F OPEN,00:20:22,00:11:11,01:31:02,00:03:31,00:58:10,03:04:16
1343,49,F,F OPEN,00:21:53,00:10:07,01:47:18,00:05:38,01:08:42,03:33:38
1344,49,F,F OPEN,00:19:42,00:07:17,01:32:35,00:01:51,00:59:20,03:00:45
1345,49,F,F OPEN,00:21:58,00:07:55,01:23:38,00:03:32,01:02:48,02:59:51
1348,49,F,F OPEN,00:20:07,00:05:43,01:18:00,00:01:51,00:58:08,02:43:49
1349,49,F,F OPEN,00:27:15,00:11:13,01:48:39,00:04:26,01:16:46,03:48:19
1351,49,F,F OPEN,00:23:43,00:11:28,01:41:35,00:03:44,01:08:14,03:28:44
1352,49,F,F OPEN,00:19:56,00:12:00,01:41:03,00:07:10,01:07:14,03:27:23
1353,49,F,F OPEN,00:21:09,00:13:08,01:33:11,00:06:01,01:14:25,03:27:54
1354,49,F,F OPEN,00:22:20,00:16:47,01:35:27,00:05:44,01:07:38,03:27:56
1355,49,F,F OPEN,00:20:29,00:09:50,01:28:39,00:02:58,01:00:39,03:02:35
1356,49,F,F OPEN,00:20:26,00:07:21,01:35:03,00:02:16,00:58:26,03:03:32
1358,49,F,F OPEN,00:24:12,00:09:03,01:41:21,00:03:03,00:59:16,03:16:55
1359,49,F,F OPEN,00:29:33,00:18:03,01:50:02,00:14:11,01:31:14,04:23:03
1360,49,F,F OPEN,00:20:41,00:09:15,01:30:26,00:02:13,01:08:26,03:11:01
1363,49,F,F OPEN,00:20:53,00:06:36,01:26:17,00:01:57,00:46:29,02:42:12
1365,49,F,F OPEN,00:20:28,00:09:52,01:49:37,00:04:54,01:28:04,03:52:55
1366,49,F,F OPEN,00:21:22,00:06:22,01:30:56,00:04:43,00:55:51,02:59:14
1367,49,F,F OPEN,00:21:03,00:06:52,01:24:15,00:02:17,00:46:01,02:40:28
1368,49,F,F OPEN,00:19:59,00:07:07,01:23:42,00:02:41,00:51:11,02:44:40
1370,50,F,F OPEN,00:19:09,00:14:34,01:41:39,00:07:29,01:19:26,03:42:17
1371,50,F,F OPEN,00:28:35,00:09:38,01:35:36,00:02:46,01:14:26,03:31:01
1374,50,F,F OPEN,00:22:57,00:10:06,01:45:41,00:03:27,01:17:54,03:40:05
1375,50,F,F OPEN,00:33:29,00:15:09,02:15:58,00:06:28,01:24:06,04:35:10
1376,50,F,F OPEN,00:24:46,00:07:55,01:25:58,00:02:26,00:59:53,03:00:58
1378,50,F,F OPEN,00:27:36,00:13:07,01:40:24,00:02:55,00:55:17,03:19:19
1379,50,F,F OPEN,00:24:06,00:08:05,01:32:22,00:02:34,01:04:37,03:11:44
1380,50,F,F OPEN,00:25:20,00:09:37,01:33:45,00:04:56,01:14:25,03:28:03
1381,50,F,F OPEN,00:23:55,00:06:36,01:26:09,00:02:01,00:50:13,02:48:54
1382,50,F,F OPEN,00:25:03,00:15:12,01:38:24,00:05:24,01:31:06,03:55:09
1384,50,F,F OPEN,00:17:21,00:05:22,01:11:46,00:01:27,00:44:10,02:20:06
1385,50,F,F OPEN,00:21:39,00:09:57,01:54:06,00:04:44,01:00:49,03:31:15
1388,50,F,F OPEN,00:24:39,00:12:17,01:41:15,00:04:34,01:06:46,03:29:31
1390,50,F,F OPEN,00:17:29,00:05:05,01:17:02,00:01:45,00:43:32,02:24:53
1391,50,F,F OPEN,00:33:13,00:20:05,02:31:00,00:09:27,01:44:38,05:18:23
1392,50,F,F OPEN,00:21:45,00:11:25,01:51:45,00:05:24,01:02:45,03:33:04
1393,50,F,F OPEN,00:20:05,00:08:39,01:35:53,00:03:11,01:00:46,03:08:34
1394,50,F,F OPEN,00:20:06,00:07:23,01:19:41,00:04:43,00:59:30,02:51:23
1395,50,F,F OPEN,00:22:59,00:08:12,01:43:22,00:03:46,01:14:26,03:32:45
1396,50,F,F OPEN,00:19:41,00:08:10,01:34:03,00:02:44,01:16:06,03:20:44
1398,50,F,F OPEN,00:23:36,00:12:57,02:02:59,00:06:23,01:18:57,04:04:52
1400,50,F,F OPEN,00:20:45,00:07:52,01:31:35,00:02:04,01:02:38,03:04:54
1401,51,F,F OPEN,00:20:55,00:19:37,01:19:10,00:02:20,00:49:42,02:51:44
1405,51,F,F OPEN,00:20:36,00:07:53,01:33:25,00:02:11,01:01:03,03:05:08
1406,51,F,F OPEN,00:24:09,00:11:13,01:51:29,00:02:26,01:05:52,03:35:09
1407,51,F,F OPEN,00:20:41,00:07:12,01:28:12,00:02:20,00:53:44,02:52:09
1408,51,F,F OPEN,00:20:05,00:09:29,01:37:32,00:02:59,01:09:25,03:19:30
1409,51,F,F OPEN,00:31:25,00:15:42,01:45:31,00:14:04,01:30:11,04:16:53
1412,51,F,F OPEN,00:19:18,00:06:50,01:27:55,00:01:47,00:51:58,02:47:48
1420,51,F,F OPEN,00:24:05,00:16:07,02:03:42,00:03:26,01:22:36,04:09:56
1421,51,F,F OPEN,00:24:55,00:15:43,01:47:21,00:04:34,01:07:28,03:40:01
1422,51,F,F OPEN,00:30:28,00:13:05,01:48:28,00:05:49,01:17:32,03:55:22
1424,51,F,F OPEN,00:21:52,00:09:16,01:30:46,00:02:52,01:12:13,03:16:59
1425,51,F,F OPEN,00:22:29,00:11:15,01:38:17,00:04:15,01:00:59,03:17:15
1426,52,F,F OPEN,00:21:57,00:06:49,01:32:31,00:05:55,01:11:03,03:18:15
1427,52,F,F OPEN,00:25:19,00:15:42,01:39:49,00:07:08,01:13:35,03:41:33
1429,52,F,F OPEN,00:21:13,00:07:24,01:29:58,00:02:25,01:04:39,03:05:39
1433,52,F,F OPEN,00:20:23,00:07:46,01:35:02,00:02:10,00:59:29,03:04:50
1434,52,F,F OPEN,00:20:36,00:12:15,01:34:25,00:05:36,01:03:23,03:16:15
1435,52,F,F OPEN,00:23:19,00:11:46,01:57:47,00:03:46,01:13:03,03:49:41
1436,52,F,F OPEN,00:24:27,00:15:14,01:38:07,00:08:42,01:23:16,03:49:46
1437,52,F,F OPEN,00:24:21,00:09:57,01:50:09,00:04:55,01:07:57,03:37:19
1438,52,F,F OPEN,00:24:50,00:08:22,01:29:56,00:05:17,00:58:06,03:06:31
1439,52,F,F OPEN,00:29:22,00:10:16,01:35:28,00:05:19,01:05:06,03:25:31
1440,52,F,F OPEN,00:22:28,00:08:52,01:22:24,00:02:26,00:59:37,02:55:47
1441,52,F,F OPEN,00:21:34,00:06:55,01:21:19,00:02:28,01:00:50,02:53:06
1442,52,F,F OPEN,00:25:51,00:08:39,01:29:30,00:03:48,01:04:56,03:12:44
1443,52,F,F OPEN,00:16:26,00:06:00,01:19:39,00:01:45,00:50:27,02:34:17
1444,52,F,F OPEN,00:19:56,00:08:58,01:38:27,00:03:05,01:11:36,03:22:02
1446,52,F,F OPEN,00:20:22,00:05:35,01:21:37,00:01:29,00:49:22,02:38:25
1448,52,F,F OPEN,00:23:40,00:12:05,01:27:39,00:04:53,01:06:00,03:14:17
1449,52,F,F OPEN,00:23:05,00:08:18,01:32:15,00:01:59,00:44:38,02:50:15
1450,52,F,F OPEN,00:21:16,00:10:40,01:45:00,00:04:00,01:38:08,03:59:04
1451,53,F,F OPEN,00:22:00,00:09:04,01:38:19,00:02:54,01:17:41,03:29:58
1453,53,F,F OPEN,00:21:43,00:12:38,01:32:15,00:04:25,01:04:51,03:15:52
1454,53,F,F OPEN,00:18:53,00:05:59,01:17:38,00:01:45,00:49:33,02:33:48
1455,53,F,F OPEN,00:22:35,00:09:03,01:32:10,00:03:47,00:55:43,03:03:18
1456,53,F,F OPEN,00:25:46,00:13:54,01:55:02,00:05:58,01:13:40,03:54:20
1457,53,F,F OPEN,00:17:46,00:07:58,01:23:23,00:04:41,01:06:16,03:00:04
1458,53,F,F OPEN,00:20:37,00:08:25,01:32:29,00:02:16,01:01:41,03:05:28
1461,53,F,F OPEN,00:26:39,00:19:28,01:37:29,00:10:17,01:02:30,03:36:23
1463,53,F,F OPEN,00:24:16,00:11:41,01:32:00,00:05:07,01:00:40,03:13:44
1464,53,F,F OPEN,00:26:35,00:14:02,01:56:30,00:04:26,01:13:00,03:54:33
1466,53,F,F OPEN,00:20:56,00:19:19,01:37:37,00:08:31,01:12:00,03:38:23
1468,53,F,F OPEN,00:20:27,00:09:00,01:30:20,00:04:46,01:04:39,03:09:12
1470,53,F,F OPEN,00:21:21,00:07:55,01:33:10,00:02:22,00:51:26,02:56:14
1472,54,F,F OPEN,00:22:45,00:08:35,01:36:02,00:04:14,01:13:18,03:24:54
1474,54,F,F OPEN,00:21:49,00:08:28,01:27:58,00:02:30,01:03:27,03:04:12
1475,54,F,F OPEN,00:22:03,00:14:54,01:41:45,00:05:30,01:10:10,03:34:22
1476,54,F,F OPEN,00:23:53,00:09:44,01:33:16,00:03:45,01:01:06,03:11:44
1477,54,F,F OPEN,00:23:29,00:08:41,01:36:20,00:10:01,01:08:47,03:27:18
1478,54,F,F OPEN,00:24:15,00:10:27,01:38:46,00:03:53,01:03:21,03:20:42
1479,54,F,F OPEN,00:25:46,00:19:11,01:49:55,00:09:13,01:18:38,04:02:43
1481,54,F,F OPEN,00:22:54,00:12:54,01:42:40,00:05:09,01:00:40,03:24:17
1482,54,F,F OPEN,00:24:33,00:14:59,01:46:22,00:04:49,01:05:29,03:36:12
1484,54,F,F OPEN,00:17:44,00:06:13,01:15:40,00:01:45,00:52:18,02:33:40
1485,55,F,F OPEN,00:21:20,00:07:40,01:30:55,00:02:12,00:52:58,02:55:05
1490,55,F,F OPEN,00:22:30,00:07:27,01:34:13,00:02:53,01:06:50,03:13:53
1492,55,F,F OPEN,00:26:26,00:10:00,01:44:03,00:03:13,01:03:24,03:27:06
1493,55,F,F OPEN,00:22:41,00:08:19,01:33:42,00:04:15,01:07:13,03:16:10
1494,55,F,F OPEN,00:30:49,00:18:15,02:13:28,00:03:58,01:48:25,04:54:55
1495,55,F,F OPEN,00:23:14,00:08:50,01:31:43,00:04:55,01:20:34,03:29:16
1496,55,F,F OPEN,00:23:49,00:11:18,01:56:16,00:04:59,01:22:45,03:59:07
1497,55,F,F OPEN,00:26:58,00:15:24,01:45:01,00:04:56,01:06:13,03:38:32
1500,56,F,F OPEN,00:20:20,00:06:55,01:26:21,00:02:01,00:54:48,02:50:25
1501,56,F,F OPEN,00:18:58,00:05:34,01:18:24,00:01:29,00:59:25,02:43:50
1502,56,F,F OPEN,00:21:33,00:08:16,01:34:55,00:02:49,01:01:58,03:09:31
1503,56,F,F OPEN,00:36:58,00:19:27,01:32:41,00:07:05,01:09:23,03:45:34
1504,56,F,F OPEN,00:23:52,00:17:15,01:58:17,00:07:04,01:23:56,04:10:24
1510,56,F,F OPEN,00:26:27,00:13:50,01:52:51,00:12:40,01:20:46,04:06:34
1511,57,F,F OPEN,00:17:07,00:05:46,01:14:09,00:01:36,00:45:43,02:24:21
1512,57,F,F OPEN,00:20:34,00:06:01,01:26:44,00:01:55,00:51:47,02:47:01
1513,57,F,F OPEN,00:23:39,00:07:44,01:58:55,00:02:03,01:27:15,03:59:36
1514,57,F,F OPEN,00:21:50,00:07:36,01:10:02,00:01:40,00:56:53,02:38:01
1516,57,F,F OPEN,00:16:35,00:07:05,01:28:40,00:02:21,00:53:37,02:48:18
1518,58,F,F OPEN,00:16:39,00:05:56,01:16:29,00:01:53,00:48:57,02:29:54
1519,58,F,F OPEN,00:18:30,00:06:46,01:28:58,00:01:49,00:55:09,02:51:12
1520,58,F,F OPEN,00:22:30,00:11:17,01:47:01,00:05:22,01:04:39,03:30:49
1522,58,F,F OPEN,00:23:57,00:10:11,02:01:05,00:03:36,01:15:17,03:54:06
1525,58,F,F OPEN,00:25:42,00:13:41,01:51:56,00:07:35,01:15:32,03:54:26
1526,58,F,F OPEN,00:27:09,00:15:31,01:59:18,00:03:58,02:07:17,04:53:13
1527,58,F,F OPEN,00:22:43,00:10:22,01:33:54,00:03:44,01:12:18,03:23:01
1528,59,F,F OPEN,00:21:03,00:07:57,01:31:32,00:02:05,01:08:50,03:11:27
1529,59,F,F OPEN,00:20:28,00:05:23,01:13:23,00:01:28,00:48:19,02:29:01
1530,59,F,F OPEN,00:20:58,00:06:30,01:25:06,00:02:15,00:58:26,02:53:15
1531,59,F,F OPEN,00:26:12,00:12:15,01:39:53,00:06:34,01:11:23,03:36:17
1532,59,F,F OPEN,00:21:38,00:07:08,01:30:20,00:02:29,00:58:16,02:59:51
1533,59,F,F OPEN,00:22:00,00:09:06,01:38:29,00:03:36,01:05:38,03:18:49
1537,59,F,F OPEN,00:21:09,00:08:30,01:27:29,00:02:27,01:00:31,03:00:06
1538,59,F,F OPEN,00:19:03,00:07:03,01:37:07,00:02:25,01:05:29,03:11:07
1540,59,F,F OPEN,00:25:30,00:15:47,01:56:54,00:05:32,01:08:59,03:52:42
1541,60,F,F OPEN,00:20:20,00:09:09,01:36:43,00:03:33,01:24:12,03:33:57
1542,60,F,F OPEN,00:19:34,00:10:36,01:22:02,00:03:32,00:55:28,02:51:12
1545,60,F,F OPEN,00:17:09,00:07:20,01:24:57,00:02:41,00:54:10,02:46:17
1546,60,F,F OPEN,00:22:12,00:11:18,01:52:39,00:07:35,01:29:54,04:03:38
1547,61,F,F OPEN,00:24:03,00:14:44,01:37:40,00:04:04,01:07:33,03:28:04
1550,61,F,F OPEN,00:22:23,00:12:01,01:33:57,00:05:50,01:15:52,03:30:03
1552,62,F,F OPEN,00:23:11,00:13:03,01:36:33,00:03:22,00:51:55,03:08:04
1553,62,F,F OPEN,00:22:09,00:11:56,01:55:48,00:03:29,01:40:20,04:13:42
1556,62,F,F OPEN,00:23:52,00:11:47,01:32:35,00:05:24,01:00:07,03:13:45
1557,62,F,F OPEN,00:20:14,00:09:14,01:34:45,00:03:22,01:02:26,03:10:01
1558,62,F,F OPEN,00:20:39,00:07:50,01:32:40,00:02:12,01:01:42,03:05:03
1559,62,F,F OPEN,00:24:31,00:13:36,01:49:07,00:05:51,01:11:38,03:44:43
1560,63,F,F OPEN,00:22:36,00:10:05,01:32:22,00:04:03,00:56:10,03:05:16
1561,64,F,F OPEN,00:20:23,00:08:37,01:23:07,00:02:25,01:00:31,02:55:03
1562,64,F,F OPEN,00:20:42,00:09:29,01:32:47,00:02:29,01:02:44,03:08:11
1563,65,F,F OPEN,00:28:12,00:26:01,02:07:19,00:04:28,01:46:54,04:52:54
1564,65,F,F OPEN,00:25:21,00:12:00,01:56:12,00:06:31,01:28:00,04:08:04
1565,66,F,F OPEN,00:25:02,00:14:10,01:54:02,00:04:49,01:21:26,03:59:29
1567,66,F,F OPEN,00:21:49,00:07:06,01:26:20,00:03:35,01:07:15,03:06:05
1569,67,F,F OPEN,00:30:52,00:18:56,02:21:28,00:08:42,01:40:56,05:00:54
1570,68,F,F OPEN,00:22:21,00:06:24,01:22:28,00:01:40,00:54:18,02:47:11
1571,68,F,F OPEN,00:20:39,00:08:32,01:27:53,00:02:29,00:52:32,02:52:05
1572,71,F,F OPEN,00:21:09,00:11:21,01:48:43,00:03:49,01:09:11,03:34:13
1574,76,F,F OPEN,00:21:12,00:08:45,01:35:26,00:04:23,01:26:59,03:36:45
1575,25,F,F OPEN,00:20:30,00:10:49,01:44:48,00:04:21,01:07:28,03:27:56
1576,25,F,F OPEN,00:20:45,00:10:34,01:41:08,00:07:59,01:07:28,03:27:54
1577,25,F,F OPEN,00:21:21,00:14:17,01:48:15,00:05:34,01:04:03,03:33:30
1578,25,F,F OPEN,00:17:14,00:06:31,01:30:59,00:01:07,00:59:03,02:54:54
1579,25,F,F OPEN,00:21:55,00:11:15,01:30:57,00:04:37,00:59:22,03:08:06
1583,25,F,F OPEN,00:23:09,00:08:41,01:36:09,00:03:44,00:57:33,03:09:16
1584,25,F,F OPEN,00:16:15,00:06:09,01:24:40,00:03:25,00:46:10,02:36:39
1585,25,F,F OPEN,00:22:38,00:12:53,01:45:29,00:04:22,01:03:57,03:29:19
1586,25,F,F OPEN,00:22:04,00:07:21,01:33:46,00:03:10,00:51:54,02:58:15
1588,25,F,F OPEN,00:25:19,00:15:46,02:00:20,00:08:20,01:15:52,04:05:37
1589,25,F,F OPEN,00:18:46,00:05:48,01:27:36,00:01:22,00:53:56,02:47:28
1591,25,F,F OPEN,00:19:05,00:06:41,01:27:20,00:03:04,00:44:54,02:41:04
1592,25,F,F OPEN,00:22:25,00:14:03,01:44:38,00:03:46,01:04:03,03:28:55
1595,25,F,F OPEN,00:25:31,00:09:49,01:46:20,00:03:48,01:21:45,03:47:13
1596,25,F,F OPEN,00:20:19,00:10:03,01:37:07,00:05:13,00:55:50,03:08:32
1597,25,F,F OPEN,00:20:47,00:10:34,01:44:44,00:04:22,01:07:28,03:27:55
1598,25,F,F OPEN,00:17:18,00:08:53,01:27:33,00:01:31,00:52:23,02:47:38
1599,25,F,F OPEN,00:19:47,00:09:32,01:32:11,00:03:12,00:52:35,02:57:17
1600,25,F,F OPEN,00:27:01,00:13:35,01:38:27,00:04:42,01:20:08,03:43:53
1603,25,F,F OPEN,00:19:59,00:09:04,01:36:00,00:02:56,01:00:06,03:08:05
1604,25,F,F OPEN,00:23:02,00:07:05,01:27:17,00:02:20,00:54:35,02:54:19
1605,25,F,F OPEN,00:22:48,00:09:41,01:53:18,00:04:58,01:26:21,03:57:06
1607,25,F,F OPEN,00:23:07,00:15:54,01:54:56,00:09:37,01:03:17,03:46:51
1609,25,F,F OPEN,00:18:00,00:05:45,01:19:35,00:01:34,00:55:37,02:40:31
1610,25,F,F OPEN,00:19:59,00:09:43,01:22:24,00:02:46,00:47:17,02:42:09
1612,26,F,F OPEN,00:23:11,00:09:43,01:31:58,00:04:44,00:54:21,03:03:57
1613,26,F,F OPEN,00:23:48,00:08:55,01:26:03,00:04:02,00:56:46,02:59:34
1614,26,F,F OPEN,00:17:53,00:06:02,01:26:12,00:01:57,00:44:03,02:36:07
1615,26,F,F OPEN,00:22:36,00:08:09,01:36:17,00:02:04,01:04:38,03:13:44
1616,26,F,F OPEN,00:22:30,00:09:19,01:26:02,00:03:20,00:51:09,02:52:20
1617,26,F,F OPEN,00:22:42,00:06:57,01:22:50,00:01:46,00:53:43,02:47:58
1618,26,F,F OPEN,00:18:42,00:10:57,01:41:17,00:05:09,01:02:13,03:18:18
1619,26,F,F OPEN,00:22:24,00:09:47,01:39:29,00:02:34,01:11:38,03:25:52
1620,26,F,F OPEN,00:21:51,00:10:38,01:57:25,00:04:30,01:07:03,03:41:27
1622,26,F,F OPEN,00:18:55,00:05:34,01:13:19,00:01:24,00:44:03,02:23:15
1623,26,F,F OPEN,00:20:42,00:14:20,01:54:11,00:03:22,00:59:06,03:31:41
1628,26,F,F OPEN,00:18:57,00:05:35,01:17:02,00:01:36,00:50:43,02:33:53
1629,26,F,F OPEN,00:19:24,00:06:13,01:23:37,00:01:24,00:49:39,02:40:17
1630,26,F,F OPEN,00:18:47,00:09:06,01:29:11,00:02:14,00:57:24,02:56:42
1631,26,F,F OPEN,00:27:25,00:19:31,01:53:26,00:06:12,00:59:16,03:45:50
1632,26,F,F OPEN,00:18:47,00:07:13,01:25:05,00:02:29,00:49:46,02:43:20
1633,26,F,F OPEN,00:22:26,00:12:54,01:32:55,00:02:46,00:54:21,03:05:22
1634,26,F,F OPEN,00:20:45,00:08:09,01:41:40,00:03:46,00:54:02,03:08:22
1635,26,F,F OPEN,00:22:38,00:07:10,01:22:33,00:02:48,00:46:40,02:41:49
1637,26,F,F OPEN,00:17:31,00:04:57,01:09:49,00:01:39,00:44:18,02:18:14
1638,26,F,F OPEN,00:24:57,00:18:21,01:41:44,00:10:36,01:09:49,03:45:27
1639,26,F,F OPEN,00:18:56,00:11:09,02:09:59,00:10:00,01:08:20,03:58:24
1641,26,F,F OPEN,00:21:35,00:08:09,01:31:45,00:02:18,01:04:10,03:07:57
1642,26,F,F OPEN,00:25:28,00:10:56,01:54:22,00:03:58,00:59:23,03:34:07
1643,27,F,F OPEN,00:19:56,00:06:10,01:23:22,00:01:50,00:46:00,02:37:18
1644,27,F,F OPEN,00:26:44,00:11:33,01:45:58,00:06:05,01:05:41,03:36:01
1645,27,F,F OPEN,00:21:16,00:08:16,01:24:41,00:02:57,00:49:37,02:46:47
1648,27,F,F OPEN,00:27:50,00:12:28,02:03:50,00:02:44,01:05:59,03:52:51
1649,27,F,F OPEN,00:20:42,00:09:12,01:43:20,00:02:54,01:04:30,03:20:38
1651,27,F,F OPEN,00:19:56,00:06:30,01:28:48,00:02:10,00:53:59,02:51:23
1652,27,F,F OPEN,00:26:05,00:10:54,01:49:02,00:07:41,01:12:14,03:45:56
1653,27,F,F OPEN,00:25:25,00:09:10,01:43:16,00:03:17,01:06:50,03:27:58
1654,27,F,F OPEN,00:21:33,00:10:12,01:39:08,00:02:39,00:58:32,03:12:04
1657,27,F,F OPEN,00:23:49,00:14:04,01:48:32,00:05:33,01:14:50,03:46:48
1658,27,F,F OPEN,00:19:48,00:09:38,01:35:47,00:04:26,00:54:06,03:03:45
1659,27,F,F OPEN,00:22:08,00:07:34,01:39:12,00:02:15,01:01:40,03:12:49
1660,27,F,F OPEN,00:23:49,00:14:17,01:36:46,00:04:30,01:04:37,03:23:59
1661,27,F,F OPEN,00:22:23,00:05:52,01:22:49,00:01:33,00:47:56,02:40:33
1662,27,F,F OPEN,00:21:42,00:08:15,01:31:40,00:03:15,00:55:24,03:00:16
1664,27,F,F OPEN,00:18:55,00:07:13,01:34:24,00:02:46,00:58:09,03:01:27
1666,27,F,F OPEN,00:18:41,00:09:35,01:40:47,00:02:07,01:04:56,03:16:06
1667,27,F,F OPEN,00:27:18,00:12:48,01:42:24,00:05:35,00:51:14,03:19:19
1670,27,F,F OPEN,00:18:21,00:07:07,01:33:16,00:05:05,01:00:34,03:04:23
1672,27,F,F OPEN,00:22:13,00:14:02,02:00:03,00:08:38,01:23:20,04:08:16
1673,27,F,F OPEN,00:18:32,00:06:20,01:34:54,00:03:05,00:53:07,02:55:58
1674,27,F,F OPEN,00:21:21,00:06:47,01:21:09,00:01:29,00:53:50,02:44:36
1675,27,F,F OPEN,00:17:41,00:05:55,01:19:51,00:01:29,00:48:56,02:33:52
1677,28,F,F OPEN,00:18:57,00:06:51,01:25:00,00:02:27,00:49:34,02:42:49
1678,28,F,F OPEN,00:20:53,00:07:57,01:20:59,00:02:00,00:56:27,02:48:16
1681,28,F,F OPEN,00:23:10,00:08:31,01:27:37,00:01:51,00:52:51,02:54:00
1682,28,F,F OPEN,00:23:45,00:08:22,01:32:05,00:01:37,00:56:46,03:02:35
1686,28,F,F OPEN,00:21:42,00:07:30,01:30:49,00:01:50,01:00:02,03:01:53
1687,29,F,F OPEN,00:23:04,00:07:05,01:21:37,00:01:23,00:44:41,02:37:50
1688,28,F,F OPEN,00:18:33,00:07:40,01:30:17,00:02:40,00:52:56,02:52:06
1689,28,F,F OPEN,00:23:27,00:10:45,02:02:18,00:04:41,01:04:17,03:45:28
1691,28,F,F OPEN,00:26:40,00:14:04,02:01:13,00:03:56,01:22:49,04:08:42
1692,28,F,F OPEN,00:29:36,00:12:15,01:55:10,00:05:43,01:24:16,04:07:00
1693,28,F,F OPEN,00:23:55,00:07:19,01:35:34,00:02:40,00:52:14,03:01:42
1694,28,F,F OPEN,00:21:45,00:08:20,01:43:38,00:02:54,01:09:37,03:26:14
1695,28,F,F OPEN,00:20:04,00:07:45,01:29:41,00:02:11,01:01:41,03:01:22
1696,28,F,F OPEN,00:17:18,00:08:57,01:41:16,00:02:55,01:16:32,03:26:58
1697,28,F,F OPEN,00:19:26,00:07:15,01:36:07,00:03:01,01:02:55,03:08:44
1698,28,F,ATH,00:18:15,00:07:28,01:26:46,00:02:04,01:02:57,02:57:30
1699,28,F,F OPEN,00:23:03,00:07:46,01:35:18,00:03:03,01:04:32,03:13:42
1708,28,F,F OPEN,00:21:14,00:11:17,01:55:30,00:03:15,00:59:29,03:30:45
